,,0
Total.E,numVol,-0.413965640298839
Fat,numVol,-0.18847469636256056
Fat,Weight,-0.17844136922949347
Bpmin,Fat,-0.12274927616014196
Bpmax,Fat,-0.11006032291485049
CVRI,Fat,-0.09706523767357789
N.G,Total.E,-0.08043431375907154
Frec,E.S,-0.0767961332655245
E,numVol,-0.07586136460307831
Fat,N.G,-0.06845188715780733
Bpmax,E,-0.06826876048822066
Frec,E,-0.06378578772121281
Fat,E.S,-0.05868916692381815
CVRI,E,-0.05697666331027007
Frec,numVol,-0.055857837127298395
N.G,E.S,-0.05302114060742745
Frec,Weight,-0.0493551202827494
HE.G,E.S,-0.048376994793998304
Fat,HE.G,-0.04305299739809008
Weight,N.G,-0.04003482963660948
Bpmax,HE.G,-0.03760433197275128
BMI,N.G,-0.033514201634879
Frec,N.G,-0.033339194996864545
Frec,CVRI,-0.03183331740813955
HE.G,Total.E,-0.031708563829138885
BMI,E.S,-0.03157017340480003
Weight,HE.G,-0.025476569845966593
Frec,HE.G,-0.021666889625989835
BMI,HE.G,-0.02065002913272493
HE.G,E,-0.020443778990073866
Frec,BMI,-0.018280670180487957
Weight,E,-0.013923688026156818
Bpmin,HE.G,-0.008861007430697255
E.S,numVol,-0.0065428858259685835
Bpmax,numVol,-0.001377689354865804
BMI,Total.E,0.0017064375813869007
Bpmin,E,0.0037645965815125046
Bpmax,N.G,0.00682229748003823
Total.E,E.S,0.011745345803198137
N.G,E,0.012226105153414777
Weight,E.S,0.016180474842026494
Frec,Fat,0.02134294264776272
Bpmin,N.G,0.021993003806966865
Weight,Total.E,0.022988174768791742
CVRI,HE.G,0.024382640404558443
Bpmax,E.S,0.02713361373670318
Bpmin,E.S,0.02927226578715401
CVRI,E.S,0.03630820406395772
E.S,E,0.03759339530449392
Frec,Total.E,0.040742295227971674
Bpmin,numVol,0.04701732622648405
Bpmin,Total.E,0.04715065990930178
CVRI,Total.E,0.05278968554123213
CVRI,N.G,0.057066357749553744
HE.G,numVol,0.0619171701396247
BMI,E,0.07166576243593611
N.G,numVol,0.08062397738046033
Fat,Total.E,0.10789941692830157
Bpmax,Total.E,0.11608787871011123
Fat,E,0.11937678225592052
CVRI,numVol,0.16832551482174754
BMI,numVol,0.1846393136833538
Bpmin,BMI,0.21271174973996906
Bpmax,BMI,0.215991995927993
Weight,numVol,0.21962593818935439
Total.E,E,0.22563230357995748
Frec,Bpmax,0.247981459817182
Frec,Bpmin,0.2968090847756091
Bpmin,CVRI,0.3273851069902503
Bpmax,CVRI,0.37043853085544903
Fat,BMI,0.39030912707195364
Bpmin,Weight,0.3988508895958165
Bpmax,Weight,0.41224130433652173
CVRI,BMI,0.5105621421813289
BMI,Weight,0.5876780354218306
CVRI,Weight,0.5998791875401756
Bpmax,Bpmin,0.8159808198456356
N.G,HE.G,0.8509950438611346
